obj                                 type                                     label                role                      affordance
g07:blueCup01                       cap:Cup                                  blue cup 01          cap:TargetObject          cap:StackabilityAffordance
g07:pinkCup01                       cap:Cup                                  pink cup 01          cap:TargetObject          http://www.w3.org/2002/07/owl#Thing
g07:pinkCup01                       cap:Cup                                  pink cup 01          cap:TargetObject          cap:Affordance
g07:pinkCup01                       cap:Cup                                  pink cup 01          cap:TargetObject          cap:GraspingAffordance
g07:pinkCup01                       cap:Cup                                  pink cup 01          cap:TargetObject          cap:StackabilityAffordance
g07:fork01                          cap:Fork                                 fork 01              cap:TargetObject          http://www.w3.org/2002/07/owl#Thing
g07:fork01                          cap:Fork                                 fork 01              cap:TargetObject          cap:Affordance
g07:fork01                          cap:Fork                                 fork 01              cap:TargetObject          cap:GraspingAffordance
g07:blueCup01                       cap:GraspableObject                      blue cup 01          cap:TargetObject          http://www.w3.org/2002/07/owl#Thing
g07:blueCup01                       cap:GraspableObject                      blue cup 01          cap:TargetObject          cap:Affordance
g07:blueCup01                       cap:GraspableObject                      blue cup 01          cap:TargetObject          cap:GraspingAffordance
g07:blueCup01                       cap:GraspableObject                      blue cup 01          cap:TargetObject          cap:StackabilityAffordance
g07:fork01                          cap:GraspableObject                      fork 01              cap:TargetObject          http://www.w3.org/2002/07/owl#Thing
g07:fork01                          cap:GraspableObject                      fork 01              cap:TargetObject          cap:Affordance
g07:fork01                          cap:GraspableObject                      fork 01              cap:TargetObject          cap:GraspingAffordance
g07:knife01                         cap:GraspableObject                      knife 01             cap:TargetObject          http://www.w3.org/2002/07/owl#Thing
g07:knife01                         cap:GraspableObject                      knife 01             cap:TargetObject          cap:Affordance
g07:knife01                         cap:GraspableObject                      knife 01             cap:TargetObject          cap:GraspingAffordance
g07:pinkCup01                       cap:GraspableObject                      pink cup 01          cap:TargetObject          http://www.w3.org/2002/07/owl#Thing
g07:pinkCup01                       cap:GraspableObject                      pink cup 01          cap:TargetObject          cap:Affordance
g07:pinkCup01                       cap:GraspableObject                      pink cup 01          cap:TargetObject          cap:GraspingAffordance
g07:pinkCup01                       cap:GraspableObject                      pink cup 01          cap:TargetObject          cap:StackabilityAffordance
g07:toyBlock01                      cap:GraspableObject                      toy block 01         cap:CollectableObject     http://www.w3.org/2002/07/owl#Thing
g07:toyBlock01                      cap:GraspableObject                      toy block 01         cap:CollectableObject     cap:Affordance
g07:toyBlock01                      cap:GraspableObject                      toy block 01         cap:CollectableObject     cap:GraspingAffordance
g07:toyBlock02                      cap:GraspableObject                      toy block 02         cap:CollectableObject     http://www.w3.org/2002/07/owl#Thing
g07:toyBlock02                      cap:GraspableObject                      toy block 02         cap:CollectableObject     cap:Affordance
g07:toyBlock02                      cap:GraspableObject                      toy block 02         cap:CollectableObject     cap:GraspingAffordance
g07:knife01                         cap:Knife                                knife 01             cap:TargetObject          http://www.w3.org/2002/07/owl#Thing
g07:knife01                         cap:Knife                                knife 01             cap:TargetObject          cap:Affordance
g07:knife01                         cap:Knife                                knife 01             cap:TargetObject          cap:GraspingAffordance
g07:plate01                         cap:Plate                                plate 01             cap:ReferenceObject       http://www.w3.org/2002/07/owl#Thing
g07:plate01                         cap:Plate                                plate 01             cap:ReferenceObject       cap:Affordance
g07:plate01                         cap:Plate                                plate 01             cap:ReferenceObject       cap:SupportAffordance
g07:toyBlock01                      cap:ToyBlock                             toy block 01         cap:CollectableObject     http://www.w3.org/2002/07/owl#Thing
g07:toyBlock01                      cap:ToyBlock                             toy block 01         cap:CollectableObject     cap:Affordance
g07:toyBlock01                      cap:ToyBlock                             toy block 01         cap:CollectableObject     cap:GraspingAffordance
g07:toyBlock02                      cap:ToyBlock                             toy block 02         cap:CollectableObject     http://www.w3.org/2002/07/owl#Thing
g07:toyBlock02                      cap:ToyBlock                             toy block 02         cap:CollectableObject     cap:Affordance
g07:toyBlock02                      cap:ToyBlock                             toy block 02         cap:CollectableObject     cap:GraspingAffordance
